Pizza,Prezzo
"ASPARAGI, UOVA E GRANA",€ 7.80
BIANCANEVE (mozzarella senza pomodoro),€ 5.00
"BEPPE (ricotta, rucola, pomodoro a fette, crudo, grana a scaglie)",€ 8.80
"BISMARK (prosciutto, funghi, uovo, grana)",€ 7.60
"BOSCAIOLA (funghi, speck)",€ 8.10
"BRESAOLA, RUCOLA E GRANA",€ 8.10
"BUFALINA (pomodori pachino, bufala, basilico)",€ 7.00
CALZONE FARCITO,€ 7.60
CALZONE MARGHERITA,€ 6.10
CALZONE PROSCIUTTO,€ 6.80
CALZONE PROSCIUTTO E FUNGHI,€ 7.10
CALZONE RICOTTA,€ 7.10
CALZONE RICOTTA E SPINACI,€ 7.60
CALZONE VERDURE,€ 8.60
CAMPAGNOLA (salsiccia e cipolla),€ 7.60
CAPRESE (margherita con aggiunta di pomodoro e mozzarella a fette),€ 7.10
CAPRICCIOSA,€ 7.10
CARCIOFI,€ 6.60
"CARMELO (metà calzone mozzarella e ricotta, metà porcini e crudo)",€ 8.60
"CIAMBELLONE (porcini, taleggio, crudo, scaglie di grana, insalata)",€ 9.80
CRUDO,€ 7.50
"DIAVOLA (salamino piccante, funghi, olive, capperi, peperoncino)",€ 7.60
"EMI (ricotta, pomodoro a fette, rucola)",€ 7.60
"EMILIANO (cipolle, pomodoro a fette, rucola)",€ 7.60
"FANTASIOSA (taleggio, salsiccia, salame piccante, pancetta)",€ 8.80
"FIARIELLA (salsiccia, friarielli)",€ 7.80
FRUTTI DI MARE,€ 8.10
FUNGHI,€ 6.60
FUNGHI E PANNA,€ 7.00
"FURFANTE (peperoni, salamino, olive, funghi, grana)",€ 8.50
"GAGLIARDA (salsiccia, capperi, olive, cipolle, acciughe)",€ 8.00
"GALANTE (ricotta, spinaci)",€ 7.00
GAMBERETTI,€ 8.00
GAMBERETTI E PANNA,€ 8.60
GAMBERETTI E RUCOLA,€ 8.60
GAMBERETTI IN SALSA ROSA,€ 8.60
"GHIOTTONA (prosciutto, zola, porcini, grana)",€ 8.80
"GUSTOSA (pomodoro a fette, rucola, crudo, grana)",€ 8.60
"INNOMINATA (senza pomodoro, prosciutto, funghi, brie, grana)",€ 7.10
"IMPERATRICE (asparagi, uovo, porchetta, grana)",€ 8.10
"JOLI' (caprese, olive)",€ 8.10
"MALIZIOSA (tonno, pomodoro a fette, rucola)",€ 7.00
MARE MONTI (frutti di mare porcini),€ 7.60
MARGHERITA,€ 6.10
"MARINELLA (rucola, salmone, panna)",€ 6.80
"MARINAIO (aglio, olio, acciughe, capperi, olive, senza mozzarella)",€ 7.10
"MARINARA (pomodoro, aglio, olio, origano, senza mozzarella)",€ 7.10
"MISTOMARE (frutti di mare, tonno, gamberetti)",€ 7.60
MUNTANERA (taleggio e funghi),€ 8.60
"NANI (zucchine, bresaola, pomodoro a fette, grana)",€ 7.60
NAPOLI (acciughe),€ 7.10
"NORDICA (gamberetti, panna, salmone)",€ 6.60
ORTOLANA (verdure alla griglia),€ 8.60
PANCETTA E UOVO,€ 9.80
"PARADISO (prosciutto, porcini, grana)",€ 7.50
"PARMIGIANA (melanzane, grana)",€ 7.60
"PARTICOLARE (porcini, salsiccia, scamorza, pancetta, grana)",€ 7.60
PATATINE,€ 7.60
"PELETA (ricotta, prosciutto, porcini, spinaci, grana)",€ 7.80
PEPERONI,€ 8.10
"PEPI' (ricotta, salsiccia, zola, porcini, grana)",€ 6.60
"PERVERSA (peperoni, speck, grana)",€ 7.00
"PESANTE (salsiccia, zola, cipolle, salame piccante)",€ 8.50
PORCINI E GRANA,€ 8.00
"PORCINI, BRESAOLA E GRANA",€ 7.00
PROSCIUTTO,€ 7.00
PROSCIUTTO E FUNGHI,€ 8.00
PROSCIUTTO E PANNA,€ 8.60
PUGLIESE (cipolle),€ 6.00
QUATTRO FORMAGGI,€ 7.10
QUATTRO STAGIONI,€ 7.10
"RADICCHIOSA (bianca con radicchio rosso, scamorza, grana)",€ 7.80
RICOTTA,€ 6.60
"ROLLO' (calzone arrotolato ripieno di mozzarella, scamorza, speck, funghi € 8.80",
"ROMANA (acciughe, capperi, olive)",€ 7.00
RUCOLA E GRANA,€ 7.00
SALAME DOLCE,€ 7.10
SALAMINO PICCANTE,€ 7.00
SALSICCIA,€ 7.10
SALMONE,€ 8.00
SALMONE E PANNA,€ 8.60
SCAMORZA,€ 7.00
SCAMORZA E SALAMINO PICCANTE,€ 7.60
SCAMORZA E SPECK,€ 7.60
"SFIZIOSA (ricotta, rucola, grana)",€ 7.60
"SICILIANA (acciughe, capperi, olive, cipolle, senza mozzarella)",€ 6.80
"SILVIA (brie, crudo)",€ 7.80
SPECK,€ 7.00
SPINACI E GRANA,€ 7.00
"SPINACI, BRIE, SPECK",€ 8.00
"SPINACI, PORCINI, TALEGGIO, GRANA",€ 8.80
"SQUISITA (pomodoro a fette, crudo, grana, rucola)",€ 8.00
"TIROLESE (spinaci, speck, grana)",€ 7.60
TONNO,€ 7.00
TONNO E CIPOLLE,€ 7.60
ULTIMA FOLLIA (pasta della pizza ripiena con spaghetti allo scoglio),€ 12.50
VERDURE,€ 8.00
VULCANO (capricciosa con doppia pasta),€ 9.50
WURSTEL,€ 6.50
WURSTEL E PATATINE,€ 7.00
ZOLA,€ 7.10
ZOLA E CRUDO,€ 8.00
